ID,Title,Author,ISBN,"Total Copies","Available Copies","Record Status"
39,"5- Day Miracle Diet","Puhn Adele",9784016400528,2,2,active
40,"50 - High Impact Speechless & Remarks","John Kador",9782786801125,2,2,active
41,"500 Social Media Marketing Tips","Macarthy Andrew",9780598262042,8,8,active
42,"501 Great Places to Stay",Unknown,9780533158690,2,2,active
43,"5900 + Cocktail Recipes","Vance Dave A.",9783226025637,1,1,active
44,"5ESS PE Projecting RLG",Unknown,9782160733752,2,2,active
45,"6 Minute Morning Toning","Rowe Faye",9783303654149,2,2,active
46,"7 Tents of Taxi Terry","Mc Kain Scott",9788685014291,6,6,active
47,"80/20 Sales and Marketing","Marshall Perry",9780196556987,6,6,active
48,"801 Prescription Drugs …","Frank W. Cawood",9786934060884,4,4,active
49,"89 Original Recipes to Coffee Lovers",Unknown,9785615951480,1,1,active
50,"8th International Conference","Pete Komarinskim",9786564823668,2,2,active
51,"90 Days in the World of Business Profesionals",Unknown,9789946804439,1,1,active
52,"A Billion Bootstraps","Smith Phil",9789957773878,2,2,active
53,"A Bombay Affair","Alisabeth McNeill",9781489513434,1,1,active
54,"A Brief History of Cocaine","Steven B. Karch",9782003791765,1,1,active
55,"A Carrer with Meaning Recreation, Parks…","Cheryl A. Stevens",9789367632017,9,9,active
56,"A Catholic Philosphy of Education","Redden John D.",9786328708316,10,10,active
57,"A Cayote in the House","Elmore Leonard",9782788957981,2,2,active
58,"A Church of Her Own","Sentilles Sarah",9788727743486,2,2,active
59,"A Compehensive Guide to Travel Writing and Photography","Rene D. Osorno",9783471434550,2,2,active
60,"A Comprehensive Handbook in Ethics of Moral..","Prisciliano T. Bauzon",9781223623160,8,8,active
61,"A Concise Guide in Food and Beverage Service Procedures","Daryl Ace V. Cornell",9785876036698,7,7,active
62,"A Concises Guide in Food & Beverage Service..","Cornel Daryl Ace V.",9780967054667,9,9,active
63,"A Course Module for Child Development","Katherine E. Del Rosario",9788937346705,8,8,active
64,"A Course Module for Foundations of Early Childhood Education","April Easter V. Macan",9785627298061,7,7,active
65,"A Course Module for Inclusive Education in Early Childhood Settings","Marie Rose Atos-Yuzon",9789016272045,8,8,active
66,"A Course Module for Instructional Technology in Childhoon Education","Josephine Garcia Contreras",9785375564647,7,7,active
67,"A Course Module for Language Programs and Policies in Multilingual Soceties","Jonna Marie A. Lim",9781708053109,10,10,active
68,"A Coyotes in the house","Leonard Elmore",9783309232716,1,1,active
69,"A Critical Handbook of Englilsh Drama","Dwivedi Poonam",9783745299120,8,8,active
70,"A Dance with Dragons","George Martin",9781904966319,2,2,active
71,"A feast for Crows","George Martin",9783149190580,8,8,active
72,"A General Theory of Crime","Michael R. Gottfredson",9785185067161,7,7,active
73,"A Ghost Named Fred","Benchley Nathaniel",9787262849875,2,2,active
74,"A Glossary for Photography","Frank Femer Jr.",9786945314730,2,2,active
75,"A Good Walk Spoiled","John Feinstein",9789965075278,2,2,active
76,"A Guide to Food Selection, Preparation & Present…","Nora Narvaez Soriano",9785454948085,5,5,active
77,"A Guide to Food Selection, Preparation & Preservation","Nora Narvaez Soriano",9781367837775,1,1,active
78,"A Guide to Food Selection, Preparation and Preservation","Nora Narvaez-Soriano",9780143634959,10,10,active
79,"A Guide to Food Selevtion, Preparation and…","Nora Narvaez-Soriano",9788856855746,7,7,active
80,"A Guide to Meal Management and Table Service","Nora Narvaez-Soriano",9784313518230,6,6,active
81,"A Guide To Meal Management and Tables Service","Nora Narvaez-Soriano",9787498941343,5,5,active
82,"A Guide to Success","Scoot M. Giles",9785240824005,1,1,active
83,"A Guide to the Study of Filipino History","V.A Domayo",9784271094777,8,8,active
84,"A Handbook of Court- Martial Procedure","Claro C. Gloria",9785204711679,7,7,active
85,"A Handbook On Arrest, Search& Seisure…","Oscar M. Herrera",9789022941317,4,4,active
86,"A Handbook on Legal Counselling & Interviewing","Mauricio C. Ulep",9786999386776,8,8,active
87,"A Handbook on Spoken English for Filipino","Carmelita Ballesteros",9789649909134,2,2,active
88,"A History of Civilization","C. Harold King",9783412328122,9,9,active
89,"A History of the Royal Dental Hospital of London..","Smith Ernest G.",9786797403446,1,1,active
90,"A Holy Nation","Carl Koch",9781349361830,2,2,active
91,"A Just War","Ernesto F. Herrera",9784210249947,1,1,active
92,"A Last English Summer","Hamilton Duncan",9781746488772,2,2,active
93,"A Leader in the Making","Joyce Meyer",9789065940131,1,1,active
94,"A Life on the Road","Charles Kuralt",9784902787429,1,1,active
95,"A Long Way From Home","Brokaw Tom",9787175655129,2,2,active
96,"A Long Way From Hope","Brokaw Tom",9786746807158,2,2,active
97,"A Loo With A View","Barclay Luke",9785168087605,2,2,active
98,"A Macro Perspective On Tourism & Hospitaity","Lim Romeo D.",9788597703481,5,5,active
99,"A Macro Perspective on Tourism & Hospitality","Lim Romeo",9784771093249,5,5,active
100,"A man of Honour","Barbara Taylor Bradford",9788613171270,1,1,active
101,"A Manual For Writers","Kate L. Turabian",9784846773786,9,9,active
102,"A Manual of Sysmatic Eyelid Surgery","J.R.O Collin",9786398214656,1,1,active
103,"A Modular Approach to Teaching Grammar Composition 1","Jomel B. Manuel",9780449972786,2,2,active
104,"A More Beautiful You in 21 Days","Ford's Eilen",9785588675338,2,2,active
105,"A Nasty Bit Of Rough","Feherty David",9783605766274,2,2,active
106,"A Nation's Heartbeat","Warren Galas Mayao",9782895171874,4,4,active
107,"A Nation's Heartbeat Character Formation Through Nationalism and Patriolism","Women Galas Moyao",9782621745966,1,1,active
108,"A Nation's Heartbeat; Character Formation Through Nationalism and Patriotism","Warren Galas Mayao",9785865780915,1,1,active
109,"A Nations Heartbeat Character Formation Through  Nationalism And Patriotism","Warren Galas Mayao",9784316117249,5,5,active
110,"A New You",Unknown,9780504556234,4,4,active
111,"A Nose for Justice","Mae Rita",9789222196937,2,2,active
112,"A Palm for Mrs. Pollifax","Dorathy Gilman",9789237474075,2,2,active
113,"A Place Apart","Dervla Purphy",9788217594642,2,2,active
114,"A place where the sea Remembers","Sandra Benites",9784367136954,2,2,active
115,"A Portfolio of 60 Phil. Art Masterpiece",Unknown,9784406409094,8,8,active
116,"A Practical Guide for Business Teachers..","Nimfa D. Dela Vera",9784395339426,2,2,active
117,"A Practical Guide To Business Communication","Shirley Taylor",9781047095211,9,9,active
118,"A Professional Approach Publisher","Bill and Karla Roberts",9785623285881,2,2,active
119,"A Quiet World","Myers David G.",9782474517123,2,2,active
120,"A Real-Life Story Pope Francis…","Gormley Beatrice",9786851604819,1,1,active
121,"A Research Bibliography","Maher Paul E.",9785496513708,2,2,active
122,"A Research Paper",Unknown,9789317461209,2,2,active
123,"A Revalation of Christ",Unknown,9784711382679,1,1,active
124,"A Rulling Passion","Michael Judith",9788692617966,2,2,active
125,"A Salty Piece of Land","Buffett Jimmy",9780537735156,2,2,active
126,"A Season of Angels","Kinkade Thomas",9780643171398,2,2,active
127,"A Simplified Approach in Learning","Evangeline Madrid-Hirata",9780532931836,4,4,active
128,"A Simplified Approach to Microsoft Excel","Evangeline Hirata",9783352904226,8,8,active
129,"A Simplified Approach to Taxation, Agrarian..","Ramirez and Lee",9782102053955,2,2,active
130,"A Simplified Approach to Thesis and …","Erlinda Galero - Tejero",9782402681179,4,4,active
131,"A Simplified Work-text in logic","Ian Nicholas O. Juan",9785891783904,2,2,active
132,"A Sistimental Traitor","Michael Bobbs",9787007661779,2,2,active
133,"A Slobbering Love Affair","GoldBeng Bernard",9781592124992,1,1,active
134,"A Son of A Circus","Irving John",9786984789612,2,2,active
135,"A Stillness at Appo","Bruce Catton",9788367365765,1,1,active
136,"A Storm of Swords","George Martin",9781565452718,7,7,active
137,"A Study on the Firearms Identification and Investigation","Artemio I. Panganiban",9781161528091,1,1,active
138,"A Suitable Boy",Unknown,9781656049452,2,2,active
139,"A Survival Guide for Culinary Arts Professional","Alan Gello",9789832731580,1,1,active
140,"A Survival Guide for Culinary Arts Professionals","Alan Gellb",9781493689989,6,6,active
141,"A Survival Guide for Hotel Professionals","Alan Gelb",9789402445503,1,1,active
142,"A Survival Guide for Hotel Professionals","Karen Lavine",9782961201832,1,1,active
143,"A Survival Guide of Hotel Professionals","Karen Lavine",9786752545990,7,7,active
144,"A Tale of Two Cities","Charles Dickens",9780229014767,1,1,active
145,"A Tast of China",Unknown,9789764381563,2,2,active
146,"A Taste of Italy",Unknown,9784978403698,1,1,active
147,"A Taste of Troop 928 Cookbook",Unknown,9780343244514,1,1,active
148,"A Taste of Vitality","Foy Mark",9787622683880,1,1,active
149,"A Textbook in College Freshman English","Elena P. Gatdula",9781606071595,2,2,active
150,"A Textbook of Engineering Drawing","Lal Roop",9789664160527,7,7,active
151,"A Textbook of Histology","William Bloom",9785161369685,2,2,active
152,"A Textbook on Comparative Police and Criminal Justice System","Mario A. Garcia",9786453521811,4,4,active
153,"A Textbook on Comparative Police and…","Garcia Mario A.",9788355231249,8,8,active
154,"A Textbook on Comporative Police &…","Garcia Mario A.",9782921277990,5,5,active
155,"A Time To Run","Boxer Barbara",9789955271772,2,2,active
156,"A Travel to the Literature of the World","Claudio V. Tabotabo",9784905814771,2,2,active
157,"A Very Private Plot","Buckley William F. Jr.",9780541199869,1,1,active
158,"A Visitor's Guide to the Pick District","Porter Lindsey",9789807935975,2,2,active
159,"A Voyage Long Strange","Horwitz Tony",9780715182031,1,1,active
160,"A Wedding in December","Shreve Aniita",9787889255462,2,2,active
161,"A Wiked Show","Gregg Olsen",9785905151866,7,7,active
162,"A Wolf at the Table","Augusten Barroughs",9784925192545,2,2,active
163,"A Work Text in : Economics 1N",Unknown,9782914865289,2,2,active
164,"A year in the Sun","Vecsey George",9786850542358,1,1,active
165,"A+ Guide to Managing and Maintaining Your PC..","Andrew Jean",9787332214183,10,10,active
166,"A-Z of Family Health",Unknown,9785929622298,1,1,active
167,"ABC's of Criminal Investigation Intelligence","Guevarra Hibionada",9782706537943,10,10,active
168,"About Dogs","Booth George",9783834735973,2,2,active
169,"Abstract Algebra","Ymas Sergio E. Jr,",9784688623928,7,7,active
170,"ABU NIPAL: A Gun for Hire","Patrick Seale",9780758181411,2,2,active
171,"AC/DC Principles","3G E-Learning",9782478261374,10,10,active
172,"Access 95 Client/ Server Development","Michelle A. Poolet",9780606853613,2,2,active
173,"Access Introduction to Travel and Tourism","March Mancini",9783051522042,6,6,active
174,"Accion !","Vicki Galloway",9787277901049,10,10,active
175,Accounting,"Peter J. Eisen",9782898614347,5,5,active
176,Accounting,"Barbara Gilder Quint",9780369711793,1,1,active
177,"Accounting An Introduction","Paul H. Walgenbach",9780893246099,8,8,active
178,"Accounting an Introduction","Imogene Posey",9783962185183,2,2,active
179,"Accounting for : Partnership and Corporation","Rafael M. Lopez Jr.",9788880670650,8,8,active
180,"Accounting For Hotel and Restaurants Management..\","Bartolome R. Urbano",9780515319521,6,6,active
181,"Accounting for Hotels & Restaurants","Ma. Elenita B. Cabrera",9785852772213,4,4,active
182,"Accounting for Hotels and Restaurants","Ma. Elenita B. Cabrera",9780430305487,2,2,active
183,"Accounting for HRM and Tourism Industry","Urbano Bartolome R.",9788740345056,7,7,active
184,"Accounting Fundamentals","Ballada Susan",9781566765275,2,2,active
185,"Accounting Handbook","Joel G. Siegel",9787584161693,9,9,active
186,"Accounting Information System","James A Hall",9788451154473,1,1,active
187,"Accounting Information Systems","Hall James A.",9786275705963,8,8,active
188,"Accounting Principles","Jesse T. Weygandt",9780165820293,6,6,active
189,"Accounting Principles","C. Rollin Niswonger",9780213556907,2,2,active
190,"Accounting Principles !","Amelia M Arganda",9782755719284,8,8,active
191,"Accounting Principles 1 Workbook","Amelia M Arganda",9786543102784,6,6,active
192,"Accounting Principles Computer- Assisted…","Louis F. Biagioni",9788144739475,7,7,active
193,"Accounting Principles Using Excel For …","James Reeve",9781217271551,5,5,active
194,"Achieve Financial Freedom","Botkin Sandy",9781884422584,9,9,active
195,"Achievement and Self- Discovery","Alfredo T. Morales",9781323705896,1,1,active
196,"Achieving Movement Competency Through PathFit 1","Mary Joy B. Catanguit",9787829114675,6,6,active
197,"ACLS Provider Manual",Unknown,9786912517782,2,2,active
198,"Acquisition of English Grammar","Tavora Gideon",9782892268010,6,6,active
199,"Acquisition of English Grammar","L. Joseph",9782422535841,8,8,active
200,Acropolis,Unknown,9784384249811,1,1,active
201,"Across Five Aprils","Hunt Irene",9789922995908,1,1,active
202,"Across the Centuries","Jacqueline Cordova",9780109439697,10,10,active
203,"Actin- Monomer- Binding Protiens","Pekka Lappalainen",9787844736470,1,1,active
204,"Action Research","Glance Jeffrey",9780276773594,4,4,active
205,"Action Research Made Easy: A Practical Guide…","Bondoc Victoriana P.",9785556258815,5,5,active
206,"Active Literacy Aross the Curriculum","Jacob Heidi Hayes",9783714732108,6,6,active
207,"Active Problem Solving for Differentiated Instruction Math",Willard,9786963259532,6,6,active
208,"Acts and Resolutions",Unknown,9782787747019,10,10,active
209,Addition,"Jordan Toni",9788733950045,2,2,active
210,"Administrative Action","William H. Newman",9789748016245,2,2,active
211,"Administrative Law, Law on Price officers","Neptali A. Gonzales",9785650609834,9,9,active
212,"Administrative Office Management","Marvic Flores",9788416878499,6,6,active
213,"Admiralty Sailing Direction",Unknown,9782165585233,1,1,active
214,Admissions,"Lieberman Nancy",9788000257877,2,2,active
215,"Adobe Photoshop CC 2018 Release","Faulkner Andrew",9789825952695,1,1,active
216,"Adobe Photoshop Lightroom Classic CC","Evans John",9784958887944,9,9,active
217,"Adobe Photoshope (8) CS6","Chris Botello",9780551694095,2,2,active
218,"Advance Accounting","Pedro P. Guerero",9784993097285,7,7,active
219,"Advance Convention and Event Managementr","Victor Nelson",9789623091305,9,9,active
220,"Advance Engineering Mathematics","O' neil Peter V.",9785626368970,2,2,active
221,"Advance Mathematics","Coxford Arthur F.",9780283857867,10,10,active
222,"Advance Writing","Jimboy B. Pagalilauan",9782785854979,6,6,active
223,"Advanced Account Solution Manual","Floyd A. Beams",9783484344372,1,1,active
224,"Advanced Accounting","Ma. Violeta V. Vicente",9787584419862,2,2,active
225,"Advanced Accounting","Amelia M Arganda",9785240415746,2,2,active
226,"Advanced Accounting","Harry Simons",9787338484214,9,9,active
227,"Advanced Accounting","Simons / Karrenbrock",9789330833014,8,8,active
228,"Advanced Accounting 1","Ma. Violeta V. Vicente",9785712082674,7,7,active
229,"Advanced Accounting 2","Maria Violeta V. Vicente",9783454019385,7,7,active
230,"Advanced Algebra Trigonometry & Statistics","Fernando B. Oriones",9780262067249,9,9,active
231,"Advanced d Base II Plus","Miriam Liskin",9780499154781,1,1,active
232,"Advanced Electronic Communications-System","Wayne Tomasi",9787287431529,8,8,active
233,"Advanced Engineering Mathematics","Peter V. O'neil",9787420549326,9,9,active
234,"Advanced Financial Accounting","Richard E. baker",9786685161229,8,8,active
235,"Advanced Grammar & Composition Module","Aceron Romel M.",9785304637459,7,7,active
236,"Advanced Luminesoent Materials & Quantum…","N. Cahay",9789904530172,2,2,active
237,"Advanced Mechanics of Materials","Boresi Arthur P.",9782684145932,6,6,active
238,"Advanced Skills in Reading","Joseph C. Gainsburg",9782727956877,1,1,active
239,"Advanced Speech Communication","Edna M. Dela Cruz",9783918785191,1,1,active
240,"Advanced Spread Speech and Database Design","Aida M. Madrigal",9780883982259,1,1,active
241,"Advanced Training Fire Fighting","Florencio T. Ventosa",9781397187079,2,2,active
242,"Adventures in America Junior English inAction","John Gehlmann",9788679087409,5,5,active
243,"Adventures in Appreciation","Brother Basilian Richard",9784039106513,2,2,active
244,"Adventures in English Literature","J.B. Priest Ley",9781704622651,1,1,active
245,Advertising,"Julita R. Gomez",9787661825128,7,7,active
246,"Advertising and Promotion","George E. Belch",9786823004784,8,8,active
247,"Affirming the Filipino An Anthology of Phil. Lit.","Ma Teresa Martinez- Sicat",9788633752435,2,2,active
248,AFIS,"Cacdac Arturo G.",9781069033116,9,9,active
249,"AFIS Automated Fingerprint Identification System","Arturo G. Cacdac",9780790306735,8,8,active
250,"African- American Perspectives","Anne T. Sutan",9780284395993,1,1,active
251,"African-American Biography","Duke Ellington",9783428364404,2,2,active
252,"African: American Derspectives","Anne T. Sultan",9786870568567,1,1,active
253,"Against All odds",Press,9782462873347,2,2,active
254,AGING,"Harold Cox",9782708668829,10,10,active
255,"Agricultural Land Reform Code",Unknown,9783435175185,7,7,active
256,"Ainslie's Complete Guide To Thoroughbred Racing","Ainslie Tom",9780469901391,1,1,active
257,"Air Pudding and Wind- Sauce","Harris Theodore L.",9787354033175,1,1,active
258,"Air Ticketing & Travel Management","Roman Dias",9789363854673,5,5,active
259,"Airport Gournd Handling","Philip Carvalho",9785445877172,8,8,active
260,"Alba's Medical Technology",Unknown,9785355609320,10,9,active
261,"Alcoholics Anonymous",Unknown,9784899642350,1,1,active
262,"Alentjo Blue","Ali Monica",9786937854770,1,1,active
263,Algebra,"Welchons/ Pearson",9782522872808,7,7,active
264,Algebra,"D. Franklin Wright",9781006231209,1,1,active
265,"Algebra & Trigonometry","Dolciani Mary P.",9788750997702,5,5,active
266,"Algebra 1","Jan Fair",9788860084842,1,1,active
267,"Algebra 1 Concepts and Skills","Ron Larson",9788621182336,1,1,active
268,"Algebra and Geometry: An Introduction to…","Lawson Mark V.",9785461567934,2,2,active
269,"Algebra and Trigonometry","Max A. Sobel",9784101666877,1,1,active
270,"Algebra and Trigonometry","Dolciani Mary P.",9780217659185,1,1,active
271,"ALGEBRA Book 2","Knickenberger Welchons",9783397401483,4,4,active
272,"Algebra Denystified","Rhonda Huethenmueller",9782503926148,1,1,active
273,"All By My Selves","Dunhum Jeff",9789396856217,1,1,active
274,"All In","Chizik Gene",9780163159999,2,2,active
275,"All In what it Takes to be the best","Chizik Gene",9785047735863,2,2,active
276,"All or Nothing","Page Lynda",9782961943114,2,2,active
277,"All Season Guide to Gardening Winter",Unknown,9782626551104,2,2,active
278,"All Things Bright and Beautiful","James Herriot",9787541212673,2,2,active
279,"All Those Mornings At The Past","Maury Lynn",9781015819955,2,2,active
280,"All's Fair in Love and Law","Hammond Alan",9780466183981,2,2,active
281,Almaniac,Unknown,9786224447210,1,1,active
282,Alta,"Mercedes Lackey",9786464715438,1,1,active
283,"Altering Course","Coote John",9789937124065,2,2,active
284,"Alternating Current Circuit","R.M Kerchner",9789657569245,2,2,active
285,"Amcp's Preparing for Qualifying Examination…","Bernstein Andres",9789375265474,6,6,active
286,"Amendment of Life","Aird Catherine",9785646519390,1,1,active
287,America,"George Brown Tindall",9788073741679,1,1,active
288,"America Back on Track","Kenedy Edward M.",9784342661792,1,1,active
289,"America The Beautiful","Minor Wendell",9789688680582,2,2,active
290,"America's Date's With Destiny","Pat Robertson",9781352909654,1,1,active
291,"American Cookery","Simmons Amelia",9786101438881,10,10,active
292,"American Government","Bruce Stinebrickner",9789375679820,8,8,active
293,"American Government Policies and Functions","Lee Seifert Greene",9780714611259,6,6,active
294,"American History","Robert James Maddox",9785738757174,6,6,active
295,"American Literature","Janice Campbell",9787514010510,9,9,active
296,"American most Wanted Recipes","Douglas Ron",9783828258679,1,1,active
297,"American most Wanted Recipes",Unknown,9786226609371,1,1,active
298,"Amish Recipes",Unknown,9786033419187,2,2,active
299,"Amy's Answering Machine","Amy Borkowsky",9785537147855,1,1,active
300,"An Anthology","Damiana L. Eugenio",9786969155791,8,8,active
301,"An Atlas of Embryology","W.H. Freedom",9784991251344,5,5,active
302,"An Eye for Art Appreciation","Ramir Philip Jones Sonsona",9782528669297,4,4,active
303,"An Index to Publications of the American Fewish","Gurock Jeffrey S.",9786278282744,2,2,active
304,"An Infallible of Identification","Vibal Luisito B.",9782579050723,1,1,active
305,"An Inflallible Science of Identification","Vibar Luisto B.",9786887676774,5,5,active
306,"An Instant Guide To Birds","Lambert Mike",9781903404386,1,1,active
307,"An Introduction to English Literature","Ranjan Ma Yank",9782797881918,6,6,active
308,"An Introduction to Linguistics","Ortiiga Sasha",9788580783612,6,6,active
309,"An Introduction to Literature Criticism and Theory, Sixth Edition","Andrew Bennett",9783407451712,9,9,active
310,"An Introduction to Modern Police Firearms","Duke Roberts",9783395962924,10,10,active
311,"An Introduction to Nonprocedural Languages","Thomas D. Truitt",9783309584983,10,10,active
312,"An Introduction to Organizational Behavior","Stephen P. Rabbins",9785449481269,1,1,active
313,"An Introduction to Physical Science","Shipman James T.",9784223253672,4,4,active
314,"An Introduction to Programming Using Alice 2-2","Herbert Charles W.",9789466711682,5,5,active
315,"An Introduction to Stochastic Processes…","Chin Long Chiang",9784577590171,9,9,active
316,"An Introduction to the Tellington- Jones Equine","Jones Linda Tellington",9781863637459,2,2,active
317,"An Unreasonable Woman","Wilson Diane",9784589297501,10,10,active
318,"Analog and Digital Circuits for Electronic Control","Inoue Haruto",9781701277069,4,4,active
319,"Analysis Evaluation or Conceptual Models of Nursing","Jacqueline Fawcett",9782424154156,5,5,active
320,"Analytic Geometry",Unknown,9782064361105,9,9,active
321,"Analytic Geometry w/ Solid Mensuration…","Felipe L. Commandante",9787129387007,5,5,active
322,"Analytical Chemistry A Chemist and..","Ham Bryan M.",9785162713616,9,9,active
323,"Anatomy & Physiology","Stanley E. Gunstream",9781155426228,9,9,active
324,"Anatomy and Phsiology","Harold J. Benson",9788909275323,4,4,active
325,"Anatomy and Phsiology","romeo M. Albornoz",9789731121963,7,7,active
326,"Anatomy and Physiology Coloring Workbook","Elaine N. Marieb",9786523413893,2,2,active
327,"Anatomy of Physiology","Harold J. Benson",9789404389836,8,8,active
328,"And Another Thing…","Clarkson Jeremy",9784037613792,2,2,active
329,"And Now A Few Words From Me","Bob Garfield",9788055269658,1,1,active
330,"And The Horse He Rode In On","Carville James",9787109104303,1,1,active
331,"And Then Jack Said to Arnie…","Wade Don",9786848666189,1,1,active
332,"Ang Bagong Pamahayagan sa Filipino","Nacisco V. Matienzo",9789241418324,8,8,active
333,"Ang El Filibusterismo ni Jose Rizal…","Aurora E. Batnag",9786914630311,2,2,active
334,"Ang Filibusterismo ni Dr. Jose Rizal","Maria Odulfo De Guzman",9781799042105,2,2,active
335,"Ang Mamamayan at ang Kanyang Pamahalaan","Nenita J. De Guzman",9780275884253,1,1,active
336,"Ang Noli Me Tangere Ni Jose Rizal","Aurora E. Batnag",9784105648145,5,5,active
337,"Ang Pakikipagtalastasan sa Harap ng Kataastaasang Hukuman",Unknown,9789177850793,9,9,active
338,"Ang Pambansang Bayani ng Pilipinas","Consolacion P. Sauco",9785241913807,1,1,active
339,"Ang Panitikan at Kulturang Filipino","Teresita Perez-Semorlan",9780307562203,4,4,active
340,"Ang Pilibusterismo","Ester R. Madriaga",9783536541957,2,2,active
341,"Ang Sining ng Paikipagtalastasang Panlipunan","Erlinda Mariano Santiago",9788023806175,1,1,active
342,"Ang Sining ng Pakikipagtalastasan sa…","Erlinda Mariano Santiago",9784518705343,2,2,active
343,"Ang Talumpati ng ating Kasaysayan","Vivian L. Balaris-Tica",9789375973836,2,2,active
344,"Ang Wika Natin","Antonia F. Villanueva",9780603850509,1,1,active
345,"Angle- American and Filipino Literature","Josephine B. Serrano",9784138367020,2,2,active
346,"Animal Parasitology","Dennis Emaralino Dantic",9781038657190,2,2,active
347,"Animation and Multimedia","Jemma Development Group",9788261990629,1,1,active
348,"Anina ng mga Alon","Eugene Y. Evasco",9784456557431,1,1,active
349,"Anne of Green Gables","L.M. Montgonery",9783291212772,1,1,active
350,"Another Beat","Posy Edwards",9786185374747,2,2,active
351,"Another City, Not My Own","Dunne Dominick",9781249035213,1,1,active
352,"Answer to Bar Examination","Bartolome S. Cardle",9783568044204,9,9,active
353,"Answers to Bar Examination Questions in Labor…","U.P Law Complex",9787883171218,7,7,active
354,"Anthology of Amazing Women","Sandra Lawrence",9780323651998,1,1,active
355,Anthropology,"Joy Hendry",9781013721519,2,2,active
356,"Anthropology Engaging Theology: Catholic Perspectives","Susan A. Ross",9787029667063,4,4,active
357,"Anxiety Happens","John P. Forsyth",9786253244729,9,9,active
358,"Anything For Billy","Mc Murtry Larry",9789993476870,1,1,active
359,"Aoronic Priesthood",Unknown,9781462638383,4,4,active
360,"Appetizers, Salads, and Sandwiches…",Unknown,9786578759854,1,1,active
361,"Appletons & Languages Outlines Review","Goldberg Joel S.",9784205930409,2,2,active
362,"Applications in Recreation and Leisure","Kathleen A. Cordes",9787859321333,10,10,active
363,"Applied Business Tools","James Saycip",9788039652230,6,6,active
364,"Applied Business Tools & Technologies in Tourism & Hospitality","Bernardo Rodolfo",9785590599295,8,8,active
365,"Applied Business Tools and Technology","Rene D. Osorno",9787842701036,5,5,active
366,"Applied Economics","Delos Reyes Rica Ancheta",9783087059321,8,8,active
367,"Applied Police and Fire photography","Raymond P. Siliander",9782500292185,2,2,active
368,"Aquatics (Basic Swimming)","Mogol Adonis",9785156915453,10,10,active
369,"Archaelogy 98/99",Unknown,9782675289539,5,5,active
370,"Architectural Digest The AD 100",Unknown,9786442209690,1,1,active
371,Arise,Clayton,9782959391729,1,1,active
372,Arise,"Kershaw Ellen",9781355215707,2,2,active
